0 0.99121 0  0.991  0.991  0.991  0.991  0.991  0.991  0.991  0.991  0.991  0.991  0.991  0.991  0.991  0.991  0.991  0.991  0.991  0.991  0.991  0.991 
0.10345 0.99156 0.00080551  0.993  0.992  0.992  0.991  0.992  0.990  0.992  0.990  0.993  0.993  0.991  0.992  0.992  0.992  0.992  0.993  0.992  0.990  0.991  0.991 
0.2069 0.99206 0.001456  0.994  0.993  0.992  0.991  0.992  0.989  0.993  0.990  0.994  0.994  0.992  0.993  0.994  0.993  0.992  0.994  0.992  0.989  0.990  0.991 
0.31034 0.99227 0.0018649  0.995  0.993  0.992  0.991  0.992  0.989  0.993  0.989  0.994  0.995  0.993  0.993  0.994  0.994  0.992  0.994  0.992  0.989  0.989  0.991 
0.41379 0.99219 0.0022065  0.995  0.993  0.992  0.991  0.991  0.990  0.992  0.989  0.995  0.996  0.994  0.993  0.993  0.995  0.991  0.994  0.992  0.988  0.988  0.991 
0.51724 0.99159 0.0027482  0.994  0.993  0.991  0.991  0.990  0.988  0.991  0.988  0.995  0.997  0.994  0.993  0.993  0.994  0.991  0.993  0.992  0.987  0.986  0.991 
0.62069 0.99043 0.0033387  0.993  0.992  0.990  0.989  0.989  0.986  0.989  0.986  0.995  0.997  0.994  0.993  0.992  0.993  0.990  0.992  0.991  0.986  0.983  0.989 
0.72414 0.98841 0.0040481  0.992  0.989  0.988  0.987  0.986  0.984  0.986  0.984  0.995  0.997  0.993  0.990  0.991  0.991  0.989  0.986  0.990  0.984  0.979  0.988 
0.82759 0.98638 0.0042425  0.989  0.986  0.986  0.984  0.983  0.984  0.983  0.984  0.993  0.996  0.993  0.989  0.989  0.988  0.986  0.983  0.988  0.982  0.978  0.984 
0.93103 0.98288 0.0050483  0.985  0.987  0.983  0.979  0.979  0.980  0.979  0.980  0.988  0.994  0.992  0.987  0.986  0.984  0.980  0.979  0.985  0.977  0.974  0.980 
1.0345 0.97776 0.0062705  0.980  0.983  0.979  0.972  0.973  0.973  0.974  0.974  0.987  0.989  0.991  0.982  0.979  0.978  0.975  0.975  0.981  0.969  0.966  0.975 
1.1379 0.96959 0.0072157  0.971  0.977  0.974  0.964  0.964  0.968  0.966  0.968  0.982  0.976  0.980  0.971  0.968  0.969  0.969  0.968  0.981  0.955  0.954  0.966 
1.2414 0.95662 0.00988  0.959  0.967  0.967  0.951  0.952  0.956  0.960  0.960  0.972  0.954  0.971  0.960  0.944  0.955  0.959  0.955  0.964  0.937  0.933  0.957 
1.3448 0.941 0.014192  0.942  0.955  0.951  0.933  0.934  0.946  0.962  0.948  0.961  0.926  0.968  0.931  0.922  0.935  0.936  0.945  0.942  0.932  0.908  0.943 
1.4483 0.91341 0.025757  0.918  0.937  0.923  0.862  0.913  0.900  0.934  0.930  0.951  0.894  0.965  0.907  0.876  0.910  0.894  0.923  0.940  0.889  0.878  0.926 
1.5517 0.88215 0.038816  0.877  0.926  0.879  0.824  0.889  0.857  0.917  0.866  0.931  0.859  0.958  0.880  0.815  0.876  0.840  0.907  0.948  0.851  0.845  0.896 
1.6552 0.83852 0.051047  0.801  0.868  0.814  0.771  0.855  0.767  0.819  0.794  0.893  0.834  0.952  0.868  0.740  0.876  0.843  0.866  0.906  0.796  0.826  0.881 
1.7586 0.77945 0.063274  0.799  0.790  0.702  0.674  0.821  0.675  0.779  0.696  0.841  0.746  0.900  0.804  0.760  0.892  0.814  0.733  0.813  0.748  0.761  0.841 
1.8621 0.69059 0.094454  0.541  0.741  0.772  0.696  0.776  0.585  0.734  0.589  0.692  0.560  0.852  0.649  0.593  0.872  0.746  0.593  0.800  0.627  0.699  0.697 
1.9655 0.57068 0.11485  0.417  0.595  0.660  0.593  0.465  0.515  0.690  0.427  0.691  0.488  0.760  0.573  0.586  0.780  0.497  0.459  0.769  0.498  0.483  0.468 
2.069 0.47194 0.10447  0.385  0.380  0.515  0.564  0.470  0.214  0.491  0.505  0.613  0.432  0.593  0.362  0.474  0.648  0.366  0.356  0.538  0.584  0.513  0.437 
2.1724 0.42027 0.12553  0.343  0.461  0.466  0.575  0.436  0.166  0.315  0.519  0.630  0.341  0.525  0.370  0.201  0.569  0.193  0.437  0.446  0.450  0.505  0.458 
2.2759 0.36299 0.14292  0.180  0.430  0.336  0.405  0.418  0.214  0.129  0.565  0.480  0.312  0.483  0.325  0.239  0.581  0.123  0.387  0.370  0.205  0.598  0.479 
2.3793 0.29292 0.11439  0.156  0.324  0.287  0.325  0.226  0.289  0.073  0.206  0.520  0.291  0.364  0.286  0.166  0.509  0.126  0.331  0.315  0.245  0.438  0.381 
2.4828 0.25067 0.097263  0.158  0.302  0.323  0.270  0.145  0.211  0.031  0.175  0.356  0.209  0.369  0.362  0.201  0.330  0.111  0.184  0.325  0.255  0.282  0.415 
2.5862 0.23746 0.090603  0.133  0.261  0.192  0.215  0.194  0.203  0.067  0.246  0.373  0.243  0.276  0.255  0.183  0.289  0.144  0.161  0.195  0.260  0.458  0.402 
2.6897 0.21132 0.099962  0.102  0.271  0.113  0.262  0.238  0.054  0.149  0.242  0.266  0.309  0.249  0.110  0.308  0.173  0.043  0.092  0.181  0.331  0.354  0.380 
2.7931 0.18037 0.098041  0.192  0.314  0.108  0.228  0.187  0.033  0.048  0.165  0.203  0.372  0.254  0.300  0.235  0.152  0.063  0.004  0.189  0.181  0.086  0.293 
2.8966 0.14136 0.067526  0.053  0.120  0.149  0.230  0.176  0.005  0.081  0.127  0.107  0.175  0.204  0.220  0.119  0.271  0.140  0.084  0.066  0.137  0.111  0.250 
3 0.14792 0.10325  0.063  0.068  0.055  0.164  0.198  0.073  0.015  0.192  0.123  0.167  0.114  0.107  0.220  0.284  0.042  0.097  0.075  0.291  0.154  0.458 
